car_id,ride_id,speed_avg,rating,ride_duration,ride_cost,stop_times
A10077085b,p1V,36.0,4.806122441400342,4.650554957675388,3.721201501777234,1
A10077085b,F1h,41.0,5.827247205706885,4.6639272196778485,7.126641220159019,1
A10077085b,m1j,40.58161447234273,3.49708885822932,4.689061668510901,6.323877743990539,1
A10077085b,a1n,29.0,4.896887816163651,5.212562227067895,5.326560391939656,0
A10077085b,B1N,31.0,4.151056836468248,3.4301435337892032,4.145334901340444,2
A10077085b,C1G,45.68825028056895,3.9249468837604415,6.18969121595155,4.689691935335072,0
A10077085b,I1I,41.0,3.4614865080817534,4.035109489641457,4.507193172347017,1
A10077085b,o1b,33.0,4.689154910263053,3.780423176077396,5.289916409386899,0
A10077085b,J1O,37.443037912635205,4.331886577915906,7.753520021910642,5.531788781826061,1
A10077085b,p1F,36.0,4.7610577000150975,5.040992252538384,5.312122708782155,2
A10077085b,H1s,52.4168575868785,3.4651213825596647,5.061486370135794,3.8739642752953545,0
A10077085b,G1U,26.0,3.323532509754049,6.711603183808817,4.741418181612829,2
A10077085b,B1d,38.0,5.865320095859049,4.405883909630326,3.967056051089098,1
A10077085b,M1V,24.06494789792406,2.660264354475321,3.5041570307570256,6.712213399371658,0
A10077085b,n1w,31.0,4.98601390027053,4.798659362058803,5.215689318331042,2
A10077085b,D1m,34.0,3.86367817345277,4.76672812525203,7.336537786424025,0
A10077085b,a1d,32.091747298441035,3.723011749766168,5.052910479135622,4.175642878874771,1
A10077085b,Z1k,28.0,4.232024513864168,5.693019269632261,4.246730678064066,0
A10077085b,G1z,63.115680547170776,3.63910080637834,2.8319933910282806,4.90357952013403,0
A10077085b,o1m,30.0,5.061925441785719,4.892992524592133,5.833711737998143,0
A10077085b,L1L,46.93259713518974,7.000434728046,5.234146663789569,6.078990122116326,1
A10077085b,Y1n,41.0,4.392432061260835,3.602294109483921,4.00120171939586,1
A10077085b,y1M,30.0,5.19053563554027,4.791072708618502,6.668821103488115,1
A10077085b,m1d,30.0,4.289694004432756,4.8646851786745104,4.518856002910971,0
A10077085b,U1B,38.52067571327791,6.51743717243534,6.458808131029943,6.181494575855732,0
A10077085b,p1G,21.0,5.044057729146431,5.224180130350982,3.1028721520110527,2
A10077085b,O1A,50.59141792250533,3.567395143808993,3.2057972758014723,5.32581130976465,0
A10077085b,R1d,34.0,4.732782938619241,7.195341813260702,4.428984345309917,2
A10077085b,b1c,49.51244411374791,3.6032168507336033,3.8638971506828494,6.194095900529629,0
A10077085b,x1l,57.58709870640208,4.74581419865875,4.969741914408287,5.18794679895737,0
A10077085b,C1T,39.0,4.150574318404638,7.913445678144415,6.277820835686826,1
A10077085b,z1c,21.612562939939288,3.761732967272679,5.758194181757688,2.396436808711694,1
